6,GREEDY,GREEDY_ITER,EXTR_MILE,GRASP,GRASP_ITER
../data/heuristics/ali535.tsp,247028.00_0.03,235450.00_16.52,243778.00_15.06,279509.00_0.03,253303.00_300.02
../data/heuristics/p654.tsp,39937.00_0.01,39937.00_5.19,40123.00_4.25,inf_0.01,52846.00_300.00
../data/heuristics/rat783.tsp,10920.00_0.01,10371.00_10.01,10399.00_7.40,13016.00_0.01,11292.00_300.01
../data/heuristics/gr666.tsp,354578.00_0.05,341056.00_31.75,341997.00_29.26,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00_0.05,368362.00_300.01
../data/heuristics/d657.tsp,57469.00_0.01,57469.00_5.59,57879.00_4.32,inf_0.01,62393.00_300.00
../data/heuristics/pr439.tsp,124297.00_0.00,122554.00_1.66,127715.00_1.31,174405.00_0.00,135082.00_300.00
../data/heuristics/rat575.tsp,8236.00_0.01,7878.00_3.67,8079.00_2.92,10161.00_0.01,8494.00_300.00
../data/heuristics/u724.tsp,50896.00_0.01,49762.00_7.50,49944.00_5.91,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00_0.01,53848.00_300.00
../data/heuristics/rd400.tsp,18473.00_0.00,17808.00_1.26,18187.00_0.96,21753.00_0.00,19018.00_300.00
../data/heuristics/u574.tsp,48199.00_0.01,43838.00_3.60,43261.00_2.90,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00_0.01,47081.00_300.00
../data/heuristics/vm1084.tsp,294134.00_0.02,284437.00_25.64,274081.00_19.44,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00_0.02,321598.00_300.02
../data/heuristics/att532.tsp,33470.00_0.01,32507.00_5.48,33250.00_4.45,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00_0.01,34481.00_300.00
../data/heuristics/d493.tsp,38626.00_0.01,38053.00_2.36,40330.00_1.81,inf_0.00,41742.00_300.00
../data/heuristics/lin318.tsp,49153.00_0.00,47640.00_0.62,49497.00_0.50,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00_0.00,50447.00_300.00
../data/heuristics/pr1002.tsp,324911.00_0.02,304268.00_19.44,302240.00_15.38,inf_0.02,344876.00_300.01
../data/heuristics/gr431.tsp,200185.00_0.02,200185.00_8.36,197761.00_8.04,inf_0.02,205716.00_300.01
../data/heuristics/pcb442.tsp,61532.00_0.00,57581.00_1.71,61170.00_1.34,inf_0.00,64871.00_300.00
../data/heuristics/dsj1000.tsp,23441799.00_0.02,21990918.00_21.49,21991699.00_17.09,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00_0.02,25003217.00_300.02
