,2OPT_GREEDY,2OPT_GREEDY_ITER,2OPT_EXTR_MIL,2OPT_GRASP,2OPT_GRASP_ITER
../data/heuristics/ali535.tsp,226579.00_15.77,226579.00_33.66,226579.00_31.02,226579.00_15.67,226579.00_135.87
../data/heuristics/p654.tsp,38203.00_4.46,38203.00_9.74,38203.00_8.67,38203.00_4.44,38203.00_124.49
../data/heuristics/rat783.tsp,9841.00_7.71,9841.00_17.74,9841.00_15.01,9841.00_7.55,9841.00_127.52
../data/heuristics/gr666.tsp,328849.00_30.18,328849.00_60.73,328849.00_59.58,328849.00_30.19,328849.00_150.24
../data/heuristics/d657.tsp,55216.00_4.53,55216.00_10.16,55216.00_8.83,55216.00_4.50,55216.00_124.50
../data/heuristics/pr439.tsp,118724.00_1.38,118724.00_3.01,118724.00_2.87,118724.00_1.39,118724.00_121.41
../data/heuristics/rat575.tsp,7543.00_3.05,7543.00_6.76,7543.00_5.95,7543.00_2.99,7543.00_123.09
../data/heuristics/u724.tsp,47423.00_6.04,47423.00_13.38,47423.00_11.85,47423.00_6.24,47423.00_125.98
../data/heuristics/rd400.tsp,16891.00_1.03,16891.00_2.38,16891.00_2.05,16891.00_1.05,16891.00_121.05
../data/heuristics/u574.tsp,41171.00_3.03,41171.00_6.61,41171.00_5.92,41171.00_3.02,41171.00_123.03
../data/heuristics/vm1084.tsp,262928.00_20.41,262928.00_46.00,262928.00_40.09,262928.00_20.04,262928.00_140.23
../data/heuristics/att532.tsp,31368.00_4.76,31368.00_10.18,31368.00_9.24,31368.00_4.78,31368.00_124.69
../data/heuristics/d493.tsp,38695.00_1.95,38695.00_4.34,38695.00_3.74,38695.00_1.91,38695.00_121.92
../data/heuristics/lin318.tsp,45940.00_0.52,45940.00_1.14,45940.00_1.02,45940.00_0.52,45940.00_120.52
../data/heuristics/pr1002.tsp,285094.00_16.08,285094.00_34.92,285094.00_31.31,285094.00_15.82,285094.00_135.82
../data/heuristics/gr431.tsp,184026.00_8.28,184026.00_16.74,184026.00_16.11,184026.00_8.21,184026.00_128.27
../data/heuristics/pcb442.tsp,56141.00_1.45,56141.00_3.13,56141.00_2.72,56141.00_1.42,56141.00_121.45
../data/heuristics/dsj1000.tsp,20760775.00_16.93,20760775.00_37.83,20760775.00_32.99,20760775.00_16.72,20760775.00_136.84
