5,MTZ,MTZ+Lazy,MTZ+2deg,MTZ+Lazy+2deg,GG
../data/compact_models/size_20/random_0.tsp,0.960905,0.776761,0.441634,0.351517,0.833618
../data/compact_models/size_20/random_19.tsp,0.692675,0.610479,0.618198,0.415878,0.774193
../data/compact_models/size_20/random_1.tsp,11.423625,10.220784,12.234644,7.651767,1.625328
../data/compact_models/size_20/random_16.tsp,0.357379,0.330876,0.274894,0.20948,0.694468
../data/compact_models/size_20/random_15.tsp,0.53566,0.813063,0.289391,0.447576,0.334107
../data/compact_models/size_20/random_18.tsp,3.515777,2.97443,1.899093,1.707081,1.188473
../data/compact_models/size_20/random_7.tsp,0.391924,0.182165,0.210729,0.147058,0.827199
../data/compact_models/size_20/random_8.tsp,1.010458,0.831022,1.213408,1.207223,1.75355
../data/compact_models/size_20/random_6.tsp,6.550708,1.610373,1.605961,1.920558,1.030779
../data/compact_models/size_20/random_10.tsp,1.072515,0.570457,0.568533,0.350329,0.976581
../data/compact_models/size_20/random_11.tsp,0.718455,1.058553,0.526908,0.829086,0.52106
../data/compact_models/size_20/random_9.tsp,1.288454,0.583503,1.619026,0.936767,0.575994
../data/compact_models/size_20/random_17.tsp,0.253429,0.184759,0.221481,0.111759,0.958437
../data/compact_models/size_20/random_2.tsp,4.408225,1.779257,2.626527,2.020413,1.269487
../data/compact_models/size_20/random_3.tsp,5.733424,6.671234,11.950699,7.229029,0.985115
../data/compact_models/size_20/random_5.tsp,3.721241,1.194085,1.664221,1.001585,0.886589
../data/compact_models/size_20/random_4.tsp,1.241802,1.047555,1.023431,0.917367,3.159579
../data/compact_models/size_20/random_13.tsp,10.599637,3.828007,6.700202,2.097865,1.727068
../data/compact_models/size_20/random_12.tsp,0.374433,0.343832,0.435711,0.276684,0.875276
../data/compact_models/size_20/random_14.tsp,1.011397,1.172899,0.541244,0.811609,0.742181
