,HARD_FIX,HARD_FIX2,SOFT_FIX
../data/mathheuristics/ali535.tsp,207566.0,206164.0,202994.0
../data/mathheuristics/p654.tsp,1185640.0,34805.0,510224.0
../data/mathheuristics/rat783.tsp,9014.0,8896.0,57132.0
../data/mathheuristics/gr666.tsp,300963.0,299465.0,633564.0
../data/mathheuristics/d657.tsp,50117.0,50053.0,104542.0
../data/mathheuristics/pr439.tsp,107511.0,110144.0,134285.0
../data/mathheuristics/rat575.tsp,6804.0,6834.0,6821.0
../data/mathheuristics/u724.tsp,65876.0,42770.0,439548.0
../data/mathheuristics/rd400.tsp,15480.0,15286.0,15281.0
../data/mathheuristics/u574.tsp,37452.0,37476.0,38025.0
../data/mathheuristics/vm1084.tsp,2177905.0,388384.0,7173041.0
../data/mathheuristics/att532.tsp,28076.0,27761.0,29392.0
../data/mathheuristics/d493.tsp,35227.0,35086.0,37424.0
../data/mathheuristics/lin318.tsp,42159.0,42449.0,42029.0
../data/mathheuristics/pr1002.tsp,1551030.0,266639.0,4579930.0
../data/mathheuristics/gr431.tsp,173407.0,172714.0,171923.0
../data/mathheuristics/pcb442.tsp,50778.0,50824.0,50808.0
../data/mathheuristics/dsj1000.tsp,371793030.0,26526532.0,332813825.0
