5,GREEDY,GREEDY_ITER,EXTR_MILE,GRASP,GRASP_ITER
../data/heuristics/pr439.tsp,131281.00,127230.00,127715.00,178141.00,132681.00
../data/heuristics/pcb442.tsp,61979.00,58950.00,61170.00,71975.00,62748.00
../data/heuristics/gr666.tsp,366843.00,351041.00,341997.00,414737.00,365088.00
../data/heuristics/u724.tsp,52943.00,50802.00,49944.00,61646.00,52928.00
../data/heuristics/rd400.tsp,19183.00,18431.00,18187.00,23228.00,18710.00
../data/heuristics/vm1084.tsp,301477.00,290806.00,274081.00,375045.00,318890.00
../data/heuristics/rat575.tsp,8605.00,7993.00,8079.00,10203.00,8394.00
../data/heuristics/d493.tsp,41665.00,40189.00,40330.00,48893.00,42673.00
../data/heuristics/dsj1000.tsp,24631468.00,22450178.00,21991699.00,30422213.00,24754103.00
../data/heuristics/att532.tsp,35516.00,33387.00,33250.00,43199.00,34226.00
../data/heuristics/ali535.tsp,253362.00,241072.00,243778.00,342431.00,256434.00
../data/heuristics/p654.tsp,43457.00,43027.00,40123.00,68325.00,43440.00
../data/heuristics/gr431.tsp,208932.00,204473.00,197761.00,249095.00,204084.00
../data/heuristics/d657.tsp,61627.00,60175.00,57879.00,77236.00,61855.00
../data/heuristics/rat783.tsp,11054.00,10540.00,10399.00,13175.00,11098.00
../data/heuristics/lin318.tsp,54019.00,49201.00,49497.00,70083.00,50179.00
../data/heuristics/u574.tsp,50459.00,45440.00,43261.00,51768.00,46900.00
../data/heuristics/pr1002.tsp,331103.00,313745.00,302240.00,393934.00,337820.00
