5,2OPT_GREEDY,2OPT_GREEDY_ITER,2OPT_EXTR_MIL,2OPT_GRASP,2OPT_GRASP_ITER
../data/heuristics/pr439.tsp,115748.00,114123.00,118724.00,124308.00,113609.00
../data/heuristics/pcb442.tsp,54119.00,53211.00,56141.00,56331.00,55818.00
../data/heuristics/gr666.tsp,325816.00,318530.00,328849.00,343098.00,328372.00
../data/heuristics/u724.tsp,45409.00,45128.00,47423.00,48312.00,44999.00
../data/heuristics/rd400.tsp,16647.00,16401.00,16891.00,17814.00,16442.00
../data/heuristics/vm1084.tsp,257862.00,260470.00,262928.00,278616.00,263958.00
../data/heuristics/rat575.tsp,7324.00,7155.00,7543.00,7865.00,7263.00
../data/heuristics/d493.tsp,36975.00,37728.00,38695.00,39428.00,37643.00
../data/heuristics/dsj1000.tsp,20858850.00,20222830.00,20760775.00,21450916.00,20625547.00
../data/heuristics/att532.tsp,30594.00,29836.00,31368.00,31424.00,30317.00
../data/heuristics/ali535.tsp,227440.00,222260.00,226579.00,238297.00,225908.00
../data/heuristics/p654.tsp,36765.00,35139.00,38203.00,43658.00,35641.00
../data/heuristics/gr431.tsp,184075.00,180915.00,184026.00,204805.00,182742.00
../data/heuristics/d657.tsp,53098.00,52241.00,55216.00,56960.00,53284.00
../data/heuristics/rat783.tsp,9470.00,9410.00,9841.00,10166.00,9717.00
../data/heuristics/lin318.tsp,45009.00,44358.00,45940.00,49872.00,45283.00
../data/heuristics/u574.tsp,40282.00,39647.00,41171.00,43971.00,40285.00
../data/heuristics/pr1002.tsp,283967.00,273491.00,285094.00,301900.00,287580.00
