,GREEDY,GREEDY_ITER,EXTR_MILE,GRASP,GRASP_ITER
../data/heuristics/ali535.tsp,253362.00,241072.00,243778.00,298675.00,255853.00
../data/heuristics/p654.tsp,43457.00,43027.00,40123.00,71935.00,45052.00
../data/heuristics/rat783.tsp,11054.00,10540.00,10399.00,12910.00,11156.00
../data/heuristics/gr666.tsp,366843.00,351041.00,341997.00,406054.00,365454.00
../data/heuristics/d657.tsp,61627.00,60175.00,57879.00,75956.00,61885.00
../data/heuristics/pr439.tsp,131281.00,127230.00,127715.00,176401.00,128470.00
../data/heuristics/rat575.tsp,8605.00,7993.00,8079.00,9372.00,8483.00
../data/heuristics/u724.tsp,52943.00,50802.00,49944.00,59319.00,53868.00
../data/heuristics/rd400.tsp,19183.00,18431.00,18187.00,22671.00,19150.00
../data/heuristics/u574.tsp,50459.00,45440.00,43261.00,59085.00,46661.00
../data/heuristics/vm1084.tsp,301477.00,290806.00,274081.00,363967.00,320469.00
../data/heuristics/att532.tsp,35516.00,33387.00,33250.00,42259.00,34341.00
../data/heuristics/d493.tsp,41665.00,40189.00,40330.00,50435.00,41332.00
../data/heuristics/lin318.tsp,54019.00,49201.00,49497.00,63037.00,50104.00
../data/heuristics/pr1002.tsp,331103.00,313745.00,302240.00,391413.00,334032.00
../data/heuristics/gr431.tsp,208932.00,204473.00,197761.00,238814.00,208304.00
../data/heuristics/pcb442.tsp,61979.00,58950.00,61170.00,78570.00,63335.00
../data/heuristics/dsj1000.tsp,24631468.00,22450178.00,21991699.00,29570791.00,24677521.00
