,GENETIC
../data/heuristics/ali535.tsp,227742.0
../data/heuristics/p654.tsp,35110.0
../data/heuristics/rat783.tsp,9725.0
../data/heuristics/gr666.tsp,334235.0
../data/heuristics/d657.tsp,52919.00
../data/heuristics/pr439.tsp,113796.0
../data/heuristics/rat575.tsp,7376.00
../data/heuristics/u724.tsp,45917.00
../data/heuristics/rd400.tsp,16418.00
../data/heuristics/u574.tsp,39816.00
../data/heuristics/vm1084.tsp,267146.00
../data/heuristics/att532.tsp,29924.00
../data/heuristics/d493.tsp,36919.00
../data/heuristics/lin318.tsp,43412.00
../data/heuristics/pr1002.tsp,284358.00
../data/heuristics/gr431.tsp,187667.00
../data/heuristics/pcb442.tsp,53756.00
../data/heuristics/dsj1000.tsp,20487747.00
