3,GENETIC,GRASP_GENETIC,GENETIC_2OPT_MUT
../data/heuristics/ali535.tsp,243499.00,220492.00,227742
../data/heuristics/p654.tsp,37446.00,36400.00,35110
../data/heuristics/rat783.tsp,10536.00,9585.00,9725
../data/heuristics/gr666.tsp,413585.00,334618.00,334235
../data/heuristics/d657.tsp,55196.00,53520.00,52919
../data/heuristics/pr439.tsp,114526.00,111782.00,113796
../data/heuristics/rat575.tsp,7504.00,7266.00,7376
../data/heuristics/u724.tsp,48469.00,45973.00,45917
../data/heuristics/rd400.tsp,16396.00,16296.00,16418
../data/heuristics/u574.tsp,40872.00,39075.00,39816
../data/heuristics/vm1084.tsp,358376.00,277909.00,267146
../data/heuristics/att532.tsp,29801.00,29202.00,29924
../data/heuristics/d493.tsp,37233.00,37187.00,36919
../data/heuristics/lin318.tsp,44363.00,43707.00,43412
../data/heuristics/pr1002.tsp,354647.00,292360.00,284358
../data/heuristics/gr431.tsp,187598.00,181191.00,187667
../data/heuristics/pcb442.tsp,55175.00,54077.00,53756
../data/heuristics/dsj1000.tsp,24512502.00,20952563.00,20487747
