,GENETIC
../data/heuristics/ali535.tsp,220492.00
../data/heuristics/p654.tsp,36400.00
../data/heuristics/rat783.tsp,9585.00
../data/heuristics/gr666.tsp,334618.00
../data/heuristics/d657.tsp,53520.00
../data/heuristics/pr439.tsp,111782.00
../data/heuristics/rat575.tsp,7266.00
../data/heuristics/u724.tsp,45973.00
../data/heuristics/rd400.tsp,16296.00
../data/heuristics/u574.tsp,39075.00
../data/heuristics/vm1084.tsp,277909.00
../data/heuristics/att532.tsp,29202.00
../data/heuristics/d493.tsp,37187.00
../data/heuristics/lin318.tsp,43707.00
../data/heuristics/pr1002.tsp,292360.00
../data/heuristics/gr431.tsp,181191.00
../data/heuristics/pcb442.tsp,54077.00
../data/heuristics/dsj1000.tsp,20952563.00
