5,VNS,GENETIC,TABU_STEP,TABU_LIN,TABU_RAND
../data/heuristics/ali535.tsp,208397.00,222593.00,,,
../data/heuristics/p654.tsp,33245.00,38391.00,,,
../data/heuristics/rat783.tsp,9336.00,9327.00,,,
../data/heuristics/gr666.tsp,313551.00,333324.00,,,
../data/heuristics/d657.tsp,48940.00,54120,,,
../data/heuristics/pr439.tsp,108764.00,105959.00,,,
../data/heuristics/rat575.tsp,6955.00,7223,,,
../data/heuristics/u724.tsp,43362.00,46279.00,,,
../data/heuristics/rd400.tsp,15937.00,16218.00,,,
../data/heuristics/u574.tsp,38022.00,39025,,,
../data/heuristics/vm1084.tsp,250519.00,248589.00,,,
../data/heuristics/att532.tsp,28548.00,29950.00,,,
../data/heuristics/d493.tsp,33936.00,37321.00,,,
../data/heuristics/lin318.tsp,40143.00,44280.00,,,
../data/heuristics/pr1002.tsp,277775.00,287827.00,,,
../data/heuristics/gr431.tsp,175328.00,192583.00,,,
../data/heuristics/pcb442.tsp,51119.00,50485.00,,,
../data/heuristics/dsj1000.tsp,19669181.00,20472388.00,,,
