,GENETIC
../data/heuristics/ali535.tsp,243499.00
../data/heuristics/p654.tsp,37446.00
../data/heuristics/rat783.tsp,10536.00
../data/heuristics/gr666.tsp,413585.00
../data/heuristics/d657.tsp,55196.00
../data/heuristics/pr439.tsp,114526.00
../data/heuristics/rat575.tsp,7504.00
../data/heuristics/u724.tsp,48469.00
../data/heuristics/rd400.tsp,16396.00
../data/heuristics/u574.tsp,40872.00
../data/heuristics/vm1084.tsp,358376.00
../data/heuristics/att532.tsp,29801.00
../data/heuristics/d493.tsp,37233.00
../data/heuristics/lin318.tsp,44363.00
../data/heuristics/pr1002.tsp,354647.00
../data/heuristics/gr431.tsp,187598.00
../data/heuristics/pcb442.tsp,55175.00
../data/heuristics/dsj1000.tsp,24512502.00
